Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,,,,,,
IKZF1,185.3805742,0.802298729,0.19057199,4.28E-06,2.76E-05,,,,,,
FIGNL1,217.1734053,-0.682904087,0.139807579,2.13E-07,1.76E-06,,,,,,
DDC,0.875778663,-0.055275468,0.376864844,0.443798734,NA,,,,,,
GRB10,11389.49296,-0.237857869,0.075432685,0.001343258,0.004889598,,,,,,
COBL,1675.588079,0.183927702,0.078764995,0.01736396,0.044995863,,,,,,
VSTM2A,0.258537864,0.016517536,0.373730264,0.894981949,NA,,,,,,
SEC61G,922.4810604,0.290774356,0.079582122,0.000194682,0.000883296,,,,,,
EGFR,945.4312224,-0.168177735,0.13996617,0.196182421,0.325005074,,,,,,
LOC119057340,1.493982626,-0.001513066,0.359503762,0.980838259,0.991193182,,,,,,
LANCL2,122.7022721,-0.026701567,0.133052695,0.829286791,0.893822103,,,,,,
LOC128626824,81.5274493,0.017969471,0.158592157,0.903081288,0.94449054,,,,,,
VOPP1,63.07137339,-0.325829024,0.217040005,0.071630708,0.146006088,,,,,,
LSMEM1,3.598402278,0.579089268,0.781177892,0.034773785,0.080749735,,,,,,
IFRD1,1286.754161,1.724230799,0.099682401,2.10E-68,2.94E-65,,,,,,
ZNF277,789.8773831,-0.101532727,0.130303394,0.380009483,0.530825944,,,,,,
DOCK4,616.9189127,-0.573833399,0.184098801,0.000472359,0.001942358,,,,,,
LOC119057308,0.501374082,0.047536524,0.375687559,0.483526544,NA,,,,,,
IMMP2L,15.36190405,0.067851349,0.273983854,0.718815932,0.817430661,,,,,,
LRRN3,26.79844325,0.015568672,0.257924779,0.921578876,0.956381046,,,,,,
DNAJB9,2909.433727,1.143372022,0.102553663,8.22E-30,9.53E-28,,,,,,
THAP5,600.6834241,0.959458752,0.121816868,4.44E-16,1.33E-14,,,,,,
GPR141,0.280564625,0.02066484,0.373939899,0.784968527,NA,,,,,,
ELMO1,212.9092499,-0.181588939,0.126281504,0.123926718,0.226460281,,,,,,
ANLN,5399.119703,-1.085425552,0.12707926,7.66E-19,3.07E-17,,,,,,
MATCAP2,66.26667036,-0.010977009,0.181774797,0.94208147,0.969795882,,,,,,
EEPD1,12.27046909,-0.111157738,0.28990405,0.556647695,0.690571789,,,,,,
SEPTIN7,5087.197189,-0.25270084,0.055030774,4.17E-06,2.70E-05,,,,,,
HERPUD2,621.9012319,0.445964503,0.091132311,4.85E-07,3.76E-06,,,,,,
TBX20,1947.438204,1.188713628,0.12384909,8.60E-23,5.22E-21,,,,,,
DPY19L2,156.3993694,0.222887253,0.151262463,0.103736139,0.19724064,,,,,,
DPY19L1,896.7928626,-0.108357235,0.075267071,0.141199899,0.251251223,,,,,,
BMPER,22.68864811,0.255548319,0.283894981,0.210445894,0.342878433,,,,,,
LOC128626839,13.84984915,-0.657733849,0.620402767,0.028223095,0.067756387,,,,,,
BBS9,696.0936168,1.03176351,0.075434416,1.87E-43,7.31E-41,,,,,,
LOC128626840,127.4498006,-0.97030285,0.18917622,3.45E-08,3.27E-07,,,,,,
RP9,101.783437,0.137189535,0.149725564,0.316183446,0.464845525,,,,,,
NT5C3A,489.7890358,0.074763163,0.088474823,0.380163111,0.53096929,,,,,,
LOC119035304,0.364606173,-0.006823868,0.372221755,0.817865409,NA,,,,,,
FKBP9,2173.804693,-0.302242046,0.067365651,5.25E-06,3.33E-05,,,,,,
LOC119035195,56.74971197,0.289960969,0.185446913,0.073557085,0.149371176,,,,,,
KBTBD2,1313.02611,0.216645936,0.083586953,0.005984413,0.018082659,,,,,,
AVL9,838.8563791,0.492789619,0.115992737,7.89E-06,4.80E-05,,,,,,
LSM5,411.7199642,-0.549296959,0.123874725,2.37E-06,1.60E-05,,,,,,
PDE1C,199.2656677,0.590129391,0.161784584,6.96E-05,0.000350021,,,,,,
ADCYAP1R1,0.64441453,0.083354268,0.385450228,0.123386222,NA,,,,,,
AQP1,20.41926045,-0.569578205,0.355204122,0.022311249,0.055571507,,,,,,
MINDY4,67.54742391,0.913012264,0.206577362,1.44E-06,1.02E-05,,,,,,
GARS1,3426.655425,0.731171791,0.061034913,1.02E-33,1.75E-31,,,,,,
LOC119035252,348.2025561,0.160126611,0.090647984,0.06736661,0.139085326,,,,,,
GGCT,359.4633419,0.338525874,0.084617636,3.93E-05,0.000208015,,,,,,
NOD1,331.3422368,0.49739554,0.133343173,7.12E-05,0.000357436,,,,,,
LOC128626878,14.2740701,-0.018507489,0.30689958,0.913030496,0.95075529,,,,,,
BTG1,2145.754355,2.077876237,0.146914262,1.36E-46,6.95E-44,,,,,,
PLEKHG7,114.9690979,-0.525822377,0.195496283,0.002198033,0.007551386,,,,,,
EEA1,2859.834542,0.600607026,0.141017218,5.67E-06,3.57E-05,,,,,,
LOC119050035,2.926626697,-0.23686309,0.457442463,0.087917204,0.172892864,,,,,,
LOC119050017,0.447436147,-0.006083792,0.373506575,0.995445506,NA,,,,,,
NUDT4,9228.00664,-0.84555956,0.075699743,9.43E-30,1.09E-27,,,,,,
UBE2N,3104.055613,-0.594581872,0.080724784,5.11E-14,1.14E-12,,,,,,
MRPL42,399.7240219,-0.049700112,0.092823506,0.598775445,0.726010909,,,,,,
SOCS2,158.0940884,0.676580846,0.206940614,0.000209686,0.000942972,,,,,,
CRADD,98.50005465,-0.078811854,0.143350446,0.547793986,0.683465533,,,,,,
PLXNC1,76.32210858,-1.303794243,0.257493007,3.20E-08,3.05E-07,,,,,,
CEP83,618.5982276,0.046401886,0.082109421,0.562854217,0.695737831,,,,,,
TMCC3,4.208247102,0.028043067,0.343640953,0.847439259,0.905532775,,,,,,
KCNA6,0.41742281,0.021907764,0.373387468,0.792421446,NA,,,,,,
KCNA1,8.265012054,3.668083767,2.013922965,0.000694,0.002728923,,,,,,
GALNT8,8.729618656,0.349925507,0.406166018,0.118617539,0.218755988,,,,,,
NDUFA9,932.8393244,-0.04971376,0.063640043,0.378089252,0.529199028,,,,,,
AKAP3,3.751914737,-0.269389819,0.476016131,0.086461102,0.170568141,,,,,,
DYRK4,0.618125231,0.003324635,0.368229066,0.977700734,NA,,,,,,
RAD51AP1,206.9442352,-0.812252696,0.147938117,6.91E-09,7.35E-08,,,,,,
CUNH12orf4,641.372378,-0.22370263,0.090630746,0.009476935,0.026778833,,,,,,
FGF23,1.82391961,0.13164937,0.389386918,0.235652289,0.372829645,,,,,,
TIGAR,542.520504,-0.302779425,0.097260959,0.001153633,0.00427018,,,,,,
CCND2,21046.59642,-1.177158894,0.125605619,5.41E-22,3.03E-20,,,,,,
LOC128626910,31.10369104,-1.023844889,0.321705607,0.000152186,0.000709246,,,,,,
PARP11,207.5349306,-0.127559502,0.129027284,0.293129557,0.4394068,,,,,,
CRACR2A,3.38800033,0.045817199,0.354563338,0.718100575,0.81690546,,,,,,
TSPAN11,1.323439358,-0.066514461,0.372216146,0.429091059,0.57774131,,,,,,
TSPAN9,2225.66409,-0.58670097,0.092322288,6.21E-11,9.09E-10,,,,,,
TEAD4,507.1801026,-0.480756108,0.122500291,3.57E-05,0.000190334,,,,,,
TULP3,1262.783638,0.089263306,0.080676247,0.258881979,0.400681895,,,,,,
RHNO1,368.6497329,-0.386387357,0.108521543,0.00018924,0.000861628,,,,,,
FOXM1,225.0970745,-2.176271974,0.211523303,5.14E-26,4.26E-24,,,,,,
NRIP2,3.105685108,0.041821435,0.347258748,0.756541317,0.846025781,,,,,,
ITFG2,453.6042263,-0.018563696,0.080120583,0.814817157,0.883739365,,,,,,
LOC128626937,312.0641294,-0.214672328,0.119888677,0.060883334,0.128332144,,,,,,
FKBP4,1634.04832,-0.153974293,0.071436894,0.024603846,0.060439961,,,,,,
WASHC1,526.6407469,0.016017811,0.082096679,0.844125953,0.903460924,,,,,,
KDM5A,2423.523053,0.032935654,0.090813812,0.709384141,0.810655841,,,,,,
CCDC77,453.925311,-0.372442406,0.099736985,0.000103167,0.000499494,,,,,,
B4GALNT3,1041.387491,-0.332134071,0.119307355,0.003297037,0.010763875,,,,,,
LOC128626955,1.550628026,-0.05145545,0.36622968,0.582921502,0.712785353,,,,,,
NINJ2,5.245612052,-0.0346645,0.344183008,0.807825397,0.879162562,,,,,,
WNK1,6703.781463,0.026623712,0.066037163,0.653354279,0.768410091,,,,,,
RAD52,190.9323652,0.033957605,0.114084194,0.764251343,0.850968079,,,,,,
ERC1,1452.743155,0.049624872,0.087122392,0.551313199,0.685826602,,,,,,
WNT5B,188.9582339,-0.445140114,0.15230355,0.001440657,0.005208053,,,,,,
FBXL14,413.0064342,0.169448334,0.089162561,0.049966908,0.108899745,,,,,,
ADIPOR2,1203.847347,0.385452614,0.069489141,1.52E-08,1.52E-07,,,,,,
CACNA2D4,5.52838799,0.012061117,0.325786095,0.949067429,0.974437898,,,,,,
LOC119051683,2.963681458,0.27091834,0.440559099,0.139700571,0.249269356,,,,,,
LRTM2,6.066146706,0.24952245,0.385962036,0.211564564,0.344078979,,,,,,
DCP1B,761.6057409,-0.212893912,0.070213606,0.001885799,0.006611114,,,,,,
CACNA1C,2378.989553,-0.30614417,0.188889469,0.059804949,0.126535077,,,,,,
C1QTNF9,7.408225599,-0.270327927,0.409899876,0.165184486,0.283805316,,,,,,
SPATA13,400.0590883,-0.748022429,0.102512813,5.78E-14,1.28E-12,,,,,,
AMER2,34.31518401,-0.215683909,0.240869241,0.257876284,0.399640485,,,,,,
LOC128627030,0.550140206,-0.071995274,0.381747533,0.176728869,NA,,,,,,
UGT2A1,83.39087753,-2.887384706,0.315646058,4.85E-21,2.40E-19,,,,,,
LOC119043925,0.736420822,-0.09429398,0.387254174,0.142069292,NA,,,,,,
ARHGEF5,13.94748361,2.371084315,0.424529293,2.13E-09,2.43E-08,,,,,,
NOBOX,3.097684044,-0.081291915,0.364355479,0.497392031,0.639623626,,,,,,
TPK1,148.1118999,-0.17274711,0.128487217,0.153165128,0.267585305,,,,,,
LOC128627069,2.943043475,0.037846121,0.349774598,0.779465714,0.860488788,,,,,,
LOC128627068,8.602252936,0.113821306,0.327519377,0.519444581,0.658074397,,,,,,
LOC128627072,73.99245196,-0.479342133,0.196547105,0.005106606,0.015724867,,,,,,
ZNF354A,2425.18154,0.594299623,0.057625943,5.39E-25,3.96E-23,,,,,,
SMURF1,675.2125688,0.195650133,0.101245911,0.04435546,0.098587239,,,,,,
KPNA7,0.168978499,-0.002727366,0.373784404,0.998255405,NA,,,,,,
TRRAP,8670.11939,-0.177795087,0.076130739,0.016853064,0.043874864,,,,,,
LOC119062981,2.716943708,0.07986857,0.349647037,0.585677633,0.715341206,,,,,,
LOC128627176,0.771584327,0.000504031,0.364429277,0.985023747,NA,,,,,,
LOC119052713,706.514344,-0.126087414,0.088448803,0.144680207,0.255926999,,,,,,
HIGD2A,200.0449606,-0.20421281,0.136535415,0.104171971,0.197867891,,,,,,
CLTB,1066.648186,0.115835894,0.073998597,0.109879004,0.206237835,,,,,,
LOC128627103,8.885968043,-0.562202331,0.469476762,0.038197562,0.087301293,,,,,,
FAF2,976.3187739,0.002774018,0.063648447,0.975228838,0.988593676,,,,,,
RNF44,1273.744367,-0.09837749,0.075441744,0.182639399,0.307508845,,,,,,
CDHR2,1072.657547,0.146810402,0.193216892,0.376427553,0.527727304,,,,,,
GPRIN1,3.160702796,-0.116019369,0.363762214,0.414237394,0.563467437,,,,,,
SNCB,6.885562039,-0.127360884,0.347715612,0.445242488,0.593727291,,,,,,
TSPAN17,633.3921654,0.077113548,0.090521074,0.441381763,0.589958044,,,,,,
UNC5A,1.294444055,-0.051927398,0.361917914,0.611077925,0.735326111,,,,,,
HK3,40.01580708,-1.686091643,0.484895223,2.72E-05,0.00014912,,,,,,
UIMC1,363.8379032,0.063960879,0.081031018,0.418818057,0.567936623,,,,,,
ZNF346,214.0217004,0.236076143,0.114301714,0.032032183,0.075298699,,,,,,
